USERID,"ID: Newspaper reading, total time on average weekday","Newspaper reading, total time on average weekday",ID: Personal use of internet/e-mail/www,Personal use of internet/e-mail/www,"ID: How often socially meet with friends, relatives or colleagues","How often socially meet with friends, relatives or colleagues",ID: Gender,Gender,"Age of respondent, calculated",ID: Highest level of education,Highest level of education,ID: Employment relation,Employment relation,ID: Occupation,Occupation,ID: Important to try new and different things in life,Important to try new and different things in life,ID: Important to do what is told and follow rules,Important to do what is told and follow rules,ID: Important to understand different people,Important to understand different people,ID:Important to make own decisions and be free,Important to make own decisions and be free,ID: Important to be successful and that people recognize achievements,Important to be successful and that people recognize achievements,ID: Important to seek adventures and have an exciting life,Important to seek adventures and have an exciting life,ID: Important to behave properly,Important to behave properly,ID: Important to get respect from others,Important to get respect from others,ID: Important to care for nature and environment,Important to care for nature and environment,ID: Important to follow traditions and customs,Important to follow traditions and customs,ID: Hard to be hopeful about the future of the world,Hard to be hopeful about the future of the world,ID: Feel close to the people in local area,Feel close to the people in local area
1-588,1,"Less than 0,5 hour",1,Never use,2,Less than once a month,2,Female,29,2,Lower secondary education completed (ISCED 2),1,Employee,9132,"Helper,cleaner in office,hotel,other establ",2,Like me,2,Like me,3,Somewhat like me,2,Like me,3,Somewhat like me,4,A little like me,3,Somewhat like me,3,Somewhat like me,3,Somewhat like me,3,Somewhat like me,,,,
1-589,1,"Less than 0,5 hour",1,Never use,6,Several times a week,1,Male,40,2,Lower secondary education completed (ISCED 2),1,Employee,7122,Bricklayers and stonemasons,2,Like me,3,Somewhat like me,3,Somewhat like me,3,Somewhat like me,3,Somewhat like me,5,Not like me,2,Like me,2,Like me,3,Somewhat like me,3,Somewhat like me,,,,
1-590,1,"Less than 0,5 hour",1,Never use,6,Several times a week,1,Male,30,3,Upper secondary education completed (ISCED 3),1,Employee,8141,Wood-processing-plant operators,3,Somewhat like me,3,Somewhat like me,2,Like me,2,Like me,2,Like me,3,Somewhat like me,3,Somewhat like me,3,Somewhat like me,2,Like me,2,Like me,,,,
1-591,3,"More than 1 hour, up to 1,5 hours",1,Never use,4,Several times a month,2,Female,58,3,Upper secondary education completed (ISCED 3),1,Employee,7433,"Tailors, dressmakers and hatters",2,Like me,2,Like me,1,Very much like me,2,Like me,2,Like me,4,A little like me,2,Like me,2,Like me,2,Like me,1,Very much like me,,,,
1-592,0,No time at all,1,Never use,4,Several times a month,2,Female,63,2,Lower secondary education completed (ISCED 2),1,Employee,9330,Transport laborers and freight handlers,2,Like me,2,Like me,1,Very much like me,3,Somewhat like me,2,Like me,4,A little like me,2,Like me,2,Like me,2,Like me,2,Like me,,,,
1-593,0,No time at all,1,Never use,2,Less than once a month,2,Female,47,3,Upper secondary education completed (ISCED 3),1,Employee,5141,"Hairdress,barber,beautician, related workers",1,Very much like me,5,Not like me,4,A little like me,1,Very much like me,1,Very much like me,4,A little like me,1,Very much like me,1,Very much like me,1,Very much like me,1,Very much like me,,,,
1-594,1,"Less than 0,5 hour",1,Never use,4,Several times a month,1,Male,52,3,Upper secondary education completed (ISCED 3),2,Self-employed,2142,Civil engineers,2,Like me,3,Somewhat like me,4,A little like me,3,Somewhat like me,5,Not like me,5,Not like me,4,A little like me,3,Somewhat like me,3,Somewhat like me,2,Like me,,,,
1-595,2,"0,5 hour to 1 hour",7,Every day,5,Once a week,2,Female,28,5,Tertiary education completed (ISCED 5-6),1,Employee,2310,"Coll,univ, higher educ teaching prof",2,Like me,4,A little like me,2,Like me,2,Like me,2,Like me,3,Somewhat like me,2,Like me,2,Like me,2,Like me,2,Like me,,,,
1-596,1,"Less than 0,5 hour",7,Every day,5,Once a week,1,Male,32,3,Upper secondary education completed (ISCED 3),1,Employee,3119,"Phys, engin science techn not elsew class",2,Like me,5,Not like me,3,Somewhat like me,2,Like me,3,Somewhat like me,4,A little like me,5,Not like me,2,Like me,2,Like me,5,Not like me,,,,
1-597,2,"0,5 hour to 1 hour",0,No access at home or work,3,Once a month,1,Male,36,3,Upper secondary education completed (ISCED 3),1,Employee,7233,Agric- or industrmachine mechanic and fitter,2,Like me,2,Like me,2,Like me,2,Like me,2,Like me,5,Not like me,3,Somewhat like me,2,Like me,1,Very much like me,5,Not like me,,,,
1-598,2,"0,5 hour to 1 hour",1,Never use,2,Less than once a month,1,Male,37,3,Upper secondary education completed (ISCED 3),1,Employee,4131,Stock clerks,1,Very much like me,2,Like me,1,Very much like me,1,Very much like me,1,Very much like me,5,Not like me,1,Very much like me,1,Very much like me,3,Somewhat like me,2,Like me,,,,
1-599,0,No time at all,1,Never use,5,Once a week,2,Female,39,2,Lower secondary education completed (ISCED 2),1,Employee,9131,Domestic helpers and cleaners,1,Very much like me,1,Very much like me,1,Very much like me,2,Like me,1,Very much like me,1,Very much like me,1,Very much like me,2,Like me,1,Very much like me,1,Very much like me,,,,
1-600,0,No time at all,1,Never use,4,Several times a month,1,Male,74,1,Less than lower secondary education (ISCED 0-1),1,Employee,7212,Welders and flamecutters,2,Like me,1,Very much like me,2,Like me,2,Like me,2,Like me,6,Not like me at all,1,Very much like me,1,Very much like me,1,Very much like me,,,,,,
1-601,4,"More than 1,5 hours, up to 2 hours",1,Never use,6,Several times a week,2,Female,79,3,Upper secondary education completed (ISCED 3),1,Employee,7433,"Tailors, dressmakers and hatters",4,A little like me,2,Like me,1,Very much like me,1,Very much like me,2,Like me,6,Not like me at all,1,Very much like me,6,Not like me at all,1,Very much like me,5,Not like me,,,,
1-602,99,No answer,4,Several times a month,6,Several times a week,1,Male,22,3,Upper secondary education completed (ISCED 3),1,Employee,9330,Transport laborers and freight handlers,2,Like me,,,3,Somewhat like me,1,Very much like me,3,Somewhat like me,2,Like me,6,Not like me at all,2,Like me,2,Like me,6,Not like me at all,,,,
1-603,1,"Less than 0,5 hour",7,Every day,5,Once a week,2,Female,29,5,Tertiary education completed (ISCED 5-6),1,Employee,2441,Economists,3,Somewhat like me,4,A little like me,1,Very much like me,2,Like me,3,Somewhat like me,4,A little like me,2,Like me,2,Like me,2,Like me,5,Not like me,,,,
1-604,1,"Less than 0,5 hour",4,Several times a month,5,Once a week,1,Male,39,3,Upper secondary education completed (ISCED 3),1,Employee,5162,Police officers,2,Like me,2,Like me,3,Somewhat like me,2,Like me,3,Somewhat like me,4,A little like me,2,Like me,2,Like me,2,Like me,3,Somewhat like me,,,,
1-605,0,No time at all,4,Several times a month,7,Every day,2,Female,16,2,Lower secondary education completed (ISCED 2),9,No answer,99999,No answer,2,Like me,5,Not like me,2,Like me,1,Very much like me,5,Not like me,2,Like me,6,Not like me at all,2,Like me,4,A little like me,5,Not like me,,,,
1-606,1,"Less than 0,5 hour",7,Every day,6,Several times a week,1,Male,33,3,Upper secondary education completed (ISCED 3),1,Employee,5220,"Shop,stall,market salespers, demonstrators",3,Somewhat like me,5,Not like me,3,Somewhat like me,3,Somewhat like me,3,Somewhat like me,5,Not like me,3,Somewhat like me,4,A little like me,3,Somewhat like me,3,Somewhat like me,,,,
1-607,0,No time at all,0,No access at home or work,1,Never,1,Male,78,2,Lower secondary education completed (ISCED 2),6,Not applicable,66666,Not applicable,2,Like me,2,Like me,1,Very much like me,1,Very much like me,2,Like me,4,A little like me,2,Like me,2,Like me,2,Like me,1,Very much like me,,,,
1-608,0,No time at all,0,No access at home or work,6,Several times a week,1,Male,22,3,Upper secondary education completed (ISCED 3),1,Employee,7000,Craft and related trades workers,3,Somewhat like me,4,A little like me,2,Like me,4,A little like me,2,Like me,4,A little like me,2,Like me,2,Like me,3,Somewhat like me,3,Somewhat like me,,,,
1-609,2,"0,5 hour to 1 hour",5,Once a week,5,Once a week,1,Male,52,5,Tertiary education completed (ISCED 5-6),1,Employee,2331,Primary education teaching professionals,1,Very much like me,3,Somewhat like me,1,Very much like me,1,Very much like me,3,Somewhat like me,2,Like me,3,Somewhat like me,3,Somewhat like me,1,Very much like me,3,Somewhat like me,,,,
1-610,1,"Less than 0,5 hour",6,Several times a week,7,Every day,1,Male,20,3,Upper secondary education completed (ISCED 3),6,Not applicable,66666,Not applicable,1,Very much like me,5,Not like me,4,A little like me,2,Like me,2,Like me,2,Like me,3,Somewhat like me,3,Somewhat like me,1,Very much like me,3,Somewhat like me,,,,
1-611,1,"Less than 0,5 hour",3,Once a month,4,Several times a month,2,Female,26,3,Upper secondary education completed (ISCED 3),1,Employee,3433,Bookkeepers,1,Very much like me,4,A little like me,3,Somewhat like me,1,Very much like me,2,Like me,3,Somewhat like me,3,Somewhat like me,2,Like me,2,Like me,2,Like me,,,,
1-612,1,"Less than 0,5 hour",0,No access at home or work,3,Once a month,1,Male,43,2,Lower secondary education completed (ISCED 2),6,Not applicable,66666,Not applicable,2,Like me,2,Like me,2,Like me,1,Very much like me,3,Somewhat like me,5,Not like me,2,Like me,2,Like me,3,Somewhat like me,2,Like me,,,,
1-613,1,"Less than 0,5 hour",5,Once a week,4,Several times a month,1,Male,21,3,Upper secondary education completed (ISCED 3),1,Employee,8331,"Motorised farm, forestry plant operator",2,Like me,3,Somewhat like me,2,Like me,2,Like me,2,Like me,5,Not like me,2,Like me,3,Somewhat like me,2,Like me,2,Like me,,,,
1-614,0,No time at all,0,No access at home or work,4,Several times a month,2,Female,15,2,Lower secondary education completed (ISCED 2),6,Not applicable,66666,Not applicable,2,Like me,5,Not like me,2,Like me,2,Like me,2,Like me,2,Like me,2,Like me,5,Not like me,5,Not like me,2,Like me,,,,
1-615,1,"Less than 0,5 hour",4,Several times a month,7,Every day,2,Female,30,3,Upper secondary education completed (ISCED 3),2,Self-employed,3429,"Busines,serv,agnts,trde brokr not else class",1,Very much like me,6,Not like me at all,2,Like me,1,Very much like me,2,Like me,2,Like me,6,Not like me at all,5,Not like me,1,Very much like me,5,Not like me,,,,
1-616,1,"Less than 0,5 hour",3,Once a month,7,Every day,1,Male,16,2,Lower secondary education completed (ISCED 2),9,No answer,99999,No answer,2,Like me,6,Not like me at all,3,Somewhat like me,2,Like me,2,Like me,2,Like me,6,Not like me at all,5,Not like me,4,A little like me,3,Somewhat like me,,,,
1-617,1,"Less than 0,5 hour",6,Several times a week,6,Several times a week,1,Male,38,5,Tertiary education completed (ISCED 5-6),1,Employee,2131,"Comp systems designers,analysts,programmers",5,Not like me,2,Like me,5,Not like me,2,Like me,4,A little like me,5,Not like me,2,Like me,4,A little like me,3,Somewhat like me,2,Like me,,,,
1-618,0,No time at all,1,Never use,2,Less than once a month,2,Female,45,3,Upper secondary education completed (ISCED 3),2,Self-employed,7423,"Woodworking machine setter,setter-operator",2,Like me,1,Very much like me,1,Very much like me,2,Like me,5,Not like me,5,Not like me,1,Very much like me,5,Not like me,1,Very much like me,1,Very much like me,,,,
1-619,1,"Less than 0,5 hour",1,Never use,4,Several times a month,2,Female,51,3,Upper secondary education completed (ISCED 3),1,Employee,7141,Painters and related workers,1,Very much like me,5,Not like me,2,Like me,2,Like me,1,Very much like me,1,Very much like me,1,Very much like me,1,Very much like me,1,Very much like me,1,Very much like me,,,,
1-620,1,"Less than 0,5 hour",1,Never use,3,Once a month,1,Male,40,2,Lower secondary education completed (ISCED 2),1,Employee,9320,Manufacturing labourers,1,Very much like me,1,Very much like me,2,Like me,1,Very much like me,2,Like me,5,Not like me,2,Like me,2,Like me,2,Like me,2,Like me,,,,
1-621,1,"Less than 0,5 hour",1,Never use,6,Several times a week,1,Male,20,3,Upper secondary education completed (ISCED 3),1,Employee,4131,Stock clerks,1,Very much like me,5,Not like me,5,Not like me,1,Very much like me,2,Like me,1,Very much like me,5,Not like me,3,Somewhat like me,1,Very much like me,5,Not like me,,,,
1-622,0,No time at all,1,Never use,2,Less than once a month,2,Female,40,2,Lower secondary education completed (ISCED 2),1,Employee,4131,Stock clerks,1,Very much like me,1,Very much like me,5,Not like me,3,Somewhat like me,2,Like me,2,Like me,1,Very much like me,2,Like me,1,Very much like me,1,Very much like me,,,,
1-623,1,"Less than 0,5 hour",1,Never use,3,Once a month,1,Male,43,3,Upper secondary education completed (ISCED 3),2,Self-employed,3112,Civil engineering technicians,1,Very much like me,1,Very much like me,5,Not like me,1,Very much like me,2,Like me,3,Somewhat like me,2,Like me,2,Like me,5,Not like me,1,Very much like me,,,,
1-624,2,"0,5 hour to 1 hour",6,Several times a week,6,Several times a week,1,Male,35,3,Upper secondary education completed (ISCED 3),1,Employee,3114,"Electronics,telecom engineering technicians",2,Like me,2,Like me,2,Like me,2,Like me,2,Like me,2,Like me,2,Like me,2,Like me,2,Like me,5,Not like me,,,,
2-206,0,No time at all,6,Several times a week,7,Every day,1,Male,15,2,Lower secondary education completed (ISCED 2),9,No answer,99999,No answer,3,Somewhat like me,3,Somewhat like me,4,A little like me,3,Somewhat like me,2,Like me,4,A little like me,3,Somewhat like me,3,Somewhat like me,2,Like me,3,Somewhat like me,,,,
2-207,4,"More than 1,5 hours, up to 2 hours",0,No access at home or work,4,Several times a month,1,Male,80,2,Lower secondary education completed (ISCED 2),1,Employee,99999,No answer,2,Like me,5,Not like me,2,Like me,3,Somewhat like me,2,Like me,5,Not like me,2,Like me,5,Not like me,2,Like me,2,Like me,,,,
2-208,1,"Less than 0,5 hour",7,Every day,6,Several times a week,1,Male,23,3,Upper secondary education completed (ISCED 3),1,Employee,3117,Mining and metallurgical technicians,2,Like me,5,Not like me,2,Like me,2,Like me,3,Somewhat like me,4,A little like me,4,A little like me,5,Not like me,3,Somewhat like me,5,Not like me,,,,
2-209,1,"Less than 0,5 hour",1,Never use,5,Once a week,1,Male,46,3,Upper secondary education completed (ISCED 3),1,Employee,4141,Library and filing clerks,5,Not like me,4,A little like me,4,A little like me,4,A little like me,3,Somewhat like me,5,Not like me,4,A little like me,3,Somewhat like me,3,Somewhat like me,3,Somewhat like me,,,,
2-210,2,"0,5 hour to 1 hour",0,No access at home or work,5,Once a week,2,Female,70,2,Lower secondary education completed (ISCED 2),1,Employee,9132,"Helper,cleaner in office,hotel,other establ",2,Like me,2,Like me,2,Like me,2,Like me,2,Like me,5,Not like me,2,Like me,2,Like me,2,Like me,2,Like me,,,,
2-211,1,"Less than 0,5 hour",1,Never use,6,Several times a week,1,Male,57,3,Upper secondary education completed (ISCED 3),1,Employee,5169,Protective services workers not else class,2,Like me,2,Like me,2,Like me,2,Like me,2,Like me,5,Not like me,5,Not like me,2,Like me,2,Like me,5,Not like me,,,,
2-212,0,No time at all,7,Every day,6,Several times a week,2,Female,16,2,Lower secondary education completed (ISCED 2),9,No answer,4131,Stock clerks,3,Somewhat like me,2,Like me,2,Like me,2,Like me,2,Like me,2,Like me,3,Somewhat like me,4,A little like me,2,Like me,3,Somewhat like me,,,,
2-213,0,No time at all,7,Every day,2,Less than once a month,1,Male,36,5,Tertiary education completed (ISCED 5-6),1,Employee,2130,Computing professionals,3,Somewhat like me,4,A little like me,2,Like me,1,Very much like me,2,Like me,5,Not like me,4,A little like me,2,Like me,1,Very much like me,5,Not like me,,,,
2-214,2,"0,5 hour to 1 hour",0,No access at home or work,4,Several times a month,1,Male,49,2,Lower secondary education completed (ISCED 2),1,Employee,8231,Rubber-products machine operators,3,Somewhat like me,3,Somewhat like me,5,Not like me,3,Somewhat like me,4,A little like me,5,Not like me,2,Like me,3,Somewhat like me,4,A little like me,2,Like me,,,,
2-215,1,"Less than 0,5 hour",1,Never use,6,Several times a week,2,Female,41,2,Lower secondary education completed (ISCED 2),1,Employee,9132,"Helper,cleaner in office,hotel,other establ",1,Very much like me,1,Very much like me,1,Very much like me,1,Very much like me,1,Very much like me,1,Very much like me,1,Very much like me,1,Very much like me,1,Very much like me,1,Very much like me,,,,
2-216,2,"0,5 hour to 1 hour",4,Several times a month,4,Several times a month,9,No answer,38,3,Upper secondary education completed (ISCED 3),1,Employee,4115,Secretaries,2,Like me,2,Like me,2,Like me,2,Like me,2,Like me,3,Somewhat like me,2,Like me,2,Like me,2,Like me,2,Like me,,,,
2-217,4,"More than 1,5 hours, up to 2 hours",1,Never use,6,Several times a week,9,No answer,87,5,Tertiary education completed (ISCED 5-6),1,Employee,1227,Managers in business services enterprises,1,Very much like me,4,A little like me,2,Like me,1,Very much like me,1,Very much like me,5,Not like me,1,Very much like me,1,Very much like me,3,Somewhat like me,1,Very much like me,,,,
2-218,2,"0,5 hour to 1 hour",4,Several times a month,4,Several times a month,9,No answer,47,5,Tertiary education completed (ISCED 5-6),1,Employee,2310,"Coll,univ, higher educ teaching prof",1,Very much like me,2,Like me,2,Like me,1,Very much like me,2,Like me,1,Very much like me,1,Very much like me,1,Very much like me,2,Like me,2,Like me,,,,
2-219,1,"Less than 0,5 hour",7,Every day,4,Several times a month,9,No answer,35,3,Upper secondary education completed (ISCED 3),3,Working for own family business,1210,Directors and chief executives,2,Like me,6,Not like me at all,2,Like me,1,Very much like me,1,Very much like me,2,Like me,3,Somewhat like me,3,Somewhat like me,1,Very much like me,1,Very much like me,,,,
2-220,7,More than 3 hours,0,No access at home or work,3,Once a month,9,No answer,69,3,Upper secondary education completed (ISCED 3),1,Employee,3113,Electrical engineering technicians,3,Somewhat like me,3,Somewhat like me,3,Somewhat like me,3,Somewhat like me,4,A little like me,4,A little like me,3,Somewhat like me,4,A little like me,4,A little like me,4,A little like me,,,,
2-221,1,"Less than 0,5 hour",7,Every day,6,Several times a week,1,Male,27,5,Tertiary education completed (ISCED 5-6),9,No answer,99999,No answer,1,Very much like me,5,Not like me,6,Not like me at all,1,Very much like me,2,Like me,3,Somewhat like me,3,Somewhat like me,3,Somewhat like me,1,Very much like me,3,Somewhat like me,,,,
2-222,1,"Less than 0,5 hour",1,Never use,3,Once a month,2,Female,66,3,Upper secondary education completed (ISCED 3),1,Employee,2331,Primary education teaching professionals,2,Like me,4,A little like me,2,Like me,2,Like me,1,Very much like me,4,A little like me,1,Very much like me,1,Very much like me,1,Very much like me,1,Very much like me,,,,
2-223,2,"0,5 hour to 1 hour",3,Once a month,3,Once a month,1,Male,39,5,Tertiary education completed (ISCED 5-6),1,Employee,2411,Accountants,2,Like me,3,Somewhat like me,2,Like me,2,Like me,3,Somewhat like me,3,Somewhat like me,4,A little like me,5,Not like me,4,A little like me,5,Not like me,,,,
2-224,1,"Less than 0,5 hour",0,No access at home or work,4,Several times a month,9,No answer,62,3,Upper secondary education completed (ISCED 3),3,Working for own family business,1312,Mngr small ent in manufacturing,2,Like me,3,Somewhat like me,2,Like me,2,Like me,2,Like me,2,Like me,2,Like me,5,Not like me,2,Like me,2,Like me,,,,
2-225,0,No time at all,6,Several times a week,6,Several times a week,2,Female,35,5,Tertiary education completed (ISCED 5-6),1,Employee,2142,Civil engineers,1,Very much like me,5,Not like me,1,Very much like me,1,Very much like me,1,Very much like me,2,Like me,2,Like me,3,Somewhat like me,1,Very much like me,6,Not like me at all,,,,
2-226,1,"Less than 0,5 hour",6,Several times a week,2,Less than once a month,2,Female,28,5,Tertiary education completed (ISCED 5-6),1,Employee,4121,Accounting and bookkeeping clerks,1,Very much like me,6,Not like me at all,2,Like me,2,Like me,3,Somewhat like me,1,Very much like me,5,Not like me,5,Not like me,2,Like me,3,Somewhat like me,,,,
2-227,2,"0,5 hour to 1 hour",1,Never use,2,Less than once a month,2,Female,32,3,Upper secondary education completed (ISCED 3),1,Employee,5122,Cooks,2,Like me,3,Somewhat like me,1,Very much like me,2,Like me,2,Like me,5,Not like me,5,Not like me,5,Not like me,2,Like me,5,Not like me,,,,
2-228,2,"0,5 hour to 1 hour",1,Never use,4,Several times a month,2,Female,65,3,Upper secondary education completed (ISCED 3),1,Employee,5123,"Waiters, waitresses and bartenders",2,Like me,2,Like me,2,Like me,5,Not like me,2,Like me,5,Not like me,5,Not like me,2,Like me,2,Like me,2,Like me,,,,
2-229,2,"0,5 hour to 1 hour",6,Several times a week,2,Less than once a month,2,Female,51,5,Tertiary education completed (ISCED 5-6),1,Employee,2419,Business prof not elsewhere classified,3,Somewhat like me,3,Somewhat like me,2,Like me,3,Somewhat like me,4,A little like me,5,Not like me,2,Like me,3,Somewhat like me,4,A little like me,4,A little like me,,,,
2-230,1,"Less than 0,5 hour",1,Never use,4,Several times a month,1,Male,68,3,Upper secondary education completed (ISCED 3),2,Self-employed,7231,Motor vehicle mechanics and fitters,2,Like me,2,Like me,2,Like me,2,Like me,2,Like me,5,Not like me,2,Like me,2,Like me,2,Like me,2,Like me,,,,
2-231,4,"More than 1,5 hours, up to 2 hours",1,Never use,4,Several times a month,2,Female,76,2,Lower secondary education completed (ISCED 2),1,Employee,5121,Housekeepers and related workers,2,Like me,2,Like me,2,Like me,3,Somewhat like me,2,Like me,5,Not like me,2,Like me,3,Somewhat like me,1,Very much like me,1,Very much like me,,,,
2-232,1,"Less than 0,5 hour",6,Several times a week,6,Several times a week,2,Female,19,3,Upper secondary education completed (ISCED 3),9,No answer,99999,No answer,1,Very much like me,5,Not like me,2,Like me,2,Like me,3,Somewhat like me,5,Not like me,1,Very much like me,5,Not like me,5,Not like me,5,Not like me,,,,
2-233,2,"0,5 hour to 1 hour",5,Once a week,3,Once a month,2,Female,22,3,Upper secondary education completed (ISCED 3),1,Employee,5142,Companions and valets,1,Very much like me,3,Somewhat like me,3,Somewhat like me,2,Like me,2,Like me,6,Not like me at all,6,Not like me at all,4,A little like me,4,A little like me,1,Very much like me,,,,
2-234,4,"More than 1,5 hours, up to 2 hours",4,Several times a month,5,Once a week,1,Male,49,3,Upper secondary education completed (ISCED 3),1,Employee,5162,Police officers,2,Like me,2,Like me,2,Like me,2,Like me,4,A little like me,4,A little like me,2,Like me,2,Like me,2,Like me,2,Like me,,,,
2-235,2,"0,5 hour to 1 hour",1,Never use,6,Several times a week,1,Male,59,5,Tertiary education completed (ISCED 5-6),1,Employee,3415,Technical and commercial sales rep,2,Like me,5,Not like me,2,Like me,2,Like me,2,Like me,2,Like me,2,Like me,3,Somewhat like me,2,Like me,4,A little like me,,,,
2-236,2,"0,5 hour to 1 hour",1,Never use,4,Several times a month,2,Female,73,2,Lower secondary education completed (ISCED 2),1,Employee,7311,Precision-instrument makers and repairers,4,A little like me,3,Somewhat like me,2,Like me,2,Like me,3,Somewhat like me,4,A little like me,1,Very much like me,3,Somewhat like me,2,Like me,3,Somewhat like me,,,,
2-237,1,"Less than 0,5 hour",0,No access at home or work,7,Every day,2,Female,49,3,Upper secondary education completed (ISCED 3),1,Employee,9132,"Helper,cleaner in office,hotel,other establ",2,Like me,1,Very much like me,2,Like me,2,Like me,5,Not like me,5,Not like me,1,Very much like me,3,Somewhat like me,1,Very much like me,1,Very much like me,,,,
2-238,1,"Less than 0,5 hour",7,Every day,5,Once a week,2,Female,27,5,Tertiary education completed (ISCED 5-6),3,Working for own family business,4222,Receptionists and information clerks,2,Like me,5,Not like me,2,Like me,2,Like me,2,Like me,4,A little like me,3,Somewhat like me,3,Somewhat like me,2,Like me,3,Somewhat like me,,,,
2-239,2,"0,5 hour to 1 hour",2,Less than once a month,4,Several times a month,1,Male,50,5,Tertiary education completed (ISCED 5-6),1,Employee,2143,Electrical engineers,2,Like me,5,Not like me,2,Like me,2,Like me,3,Somewhat like me,5,Not like me,2,Like me,3,Somewhat like me,1,Very much like me,2,Like me,,,,
2-240,2,"0,5 hour to 1 hour",1,Never use,5,Once a week,2,Female,58,2,Lower secondary education completed (ISCED 2),1,Employee,9320,Manufacturing labourers,2,Like me,1,Very much like me,2,Like me,2,Like me,5,Not like me,6,Not like me at all,2,Like me,4,A little like me,2,Like me,2,Like me,,,,
2-241,2,"0,5 hour to 1 hour",7,Every day,4,Several times a month,1,Male,30,3,Upper secondary education completed (ISCED 3),1,Employee,5123,"Waiters, waitresses and bartenders",1,Very much like me,4,A little like me,2,Like me,1,Very much like me,3,Somewhat like me,5,Not like me,5,Not like me,5,Not like me,1,Very much like me,6,Not like me at all,,,,
2-242,4,"More than 1,5 hours, up to 2 hours",0,No access at home or work,3,Once a month,2,Female,63,3,Upper secondary education completed (ISCED 3),1,Employee,4115,Secretaries,5,Not like me,2,Like me,3,Somewhat like me,2,Like me,3,Somewhat like me,5,Not like me,1,Very much like me,6,Not like me at all,2,Like me,2,Like me,,,,
2-243,2,"0,5 hour to 1 hour",0,No access at home or work,6,Several times a week,1,Male,36,3,Upper secondary education completed (ISCED 3),1,Employee,4221,Travel agency and related clerks,2,Like me,6,Not like me at all,2,Like me,1,Very much like me,2,Like me,2,Like me,5,Not like me,3,Somewhat like me,2,Like me,3,Somewhat like me,,,,
2-244,1,"Less than 0,5 hour",3,Once a month,7,Every day,2,Female,22,3,Upper secondary education completed (ISCED 3),1,Employee,4213,Bookmakers and croupiers,2,Like me,3,Somewhat like me,2,Like me,2,Like me,3,Somewhat like me,4,A little like me,3,Somewhat like me,3,Somewhat like me,2,Like me,4,A little like me,,,,
2-245,3,"More than 1 hour, up to 1,5 hours",7,Every day,6,Several times a week,1,Male,19,2,Lower secondary education completed (ISCED 2),1,Employee,5123,"Waiters, waitresses and bartenders",3,Somewhat like me,2,Like me,3,Somewhat like me,1,Very much like me,4,A little like me,5,Not like me,2,Like me,2,Like me,3,Somewhat like me,6,Not like me at all,,,,
2-246,1,"Less than 0,5 hour",7,Every day,6,Several times a week,1,Male,31,3,Upper secondary education completed (ISCED 3),1,Employee,3111,Chemical and physical science technicians,4,A little like me,4,A little like me,2,Like me,5,Not like me,4,A little like me,4,A little like me,4,A little like me,4,A little like me,2,Like me,3,Somewhat like me,,,,
2-247,2,"0,5 hour to 1 hour",0,No access at home or work,6,Several times a week,2,Female,53,2,Lower secondary education completed (ISCED 2),1,Employee,5131,Child-care workers,2,Like me,5,Not like me,5,Not like me,2,Like me,2,Like me,5,Not like me,2,Like me,2,Like me,2,Like me,2,Like me,,,,
2-248,1,"Less than 0,5 hour",0,No access at home or work,4,Several times a month,1,Male,58,3,Upper secondary education completed (ISCED 3),1,Employee,99999,No answer,2,Like me,2,Like me,4,A little like me,2,Like me,2,Like me,5,Not like me,2,Like me,2,Like me,2,Like me,2,Like me,,,,
2-249,2,"0,5 hour to 1 hour",6,Several times a week,5,Once a week,2,Female,20,3,Upper secondary education completed (ISCED 3),1,Employee,99999,No answer,2,Like me,4,A little like me,6,Not like me at all,3,Somewhat like me,2,Like me,4,A little like me,4,A little like me,3,Somewhat like me,4,A little like me,3,Somewhat like me,,,,
2-250,1,"Less than 0,5 hour",1,Never use,3,Once a month,1,Male,58,3,Upper secondary education completed (ISCED 3),1,Employee,7437,Upholsterers and related workers,3,Somewhat like me,4,A little like me,2,Like me,2,Like me,2,Like me,5,Not like me,3,Somewhat like me,2,Like me,2,Like me,2,Like me,,,,
2-251,2,"0,5 hour to 1 hour",3,Once a month,6,Several times a week,1,Male,26,3,Upper secondary education completed (ISCED 3),1,Employee,7241,"Electric mechanic, fitters and servicers",2,Like me,4,A little like me,4,A little like me,2,Like me,3,Somewhat like me,2,Like me,2,Like me,2,Like me,3,Somewhat like me,3,Somewhat like me,,,,
2-252,2,"0,5 hour to 1 hour",0,No access at home or work,4,Several times a month,1,Male,75,3,Upper secondary education completed (ISCED 3),1,Employee,8141,Wood-processing-plant operators,4,A little like me,5,Not like me,2,Like me,2,Like me,5,Not like me,5,Not like me,2,Like me,3,Somewhat like me,2,Like me,3,Somewhat like me,,,,
2-253,0,No time at all,0,No access at home or work,6,Several times a week,2,Female,16,2,Lower secondary education completed (ISCED 2),9,No answer,99999,No answer,3,Somewhat like me,3,Somewhat like me,2,Like me,4,A little like me,4,A little like me,4,A little like me,5,Not like me,4,A little like me,3,Somewhat like me,3,Somewhat like me,,,,
2-254,1,"Less than 0,5 hour",1,Never use,6,Several times a week,2,Female,65,2,Lower secondary education completed (ISCED 2),9,No answer,99999,No answer,4,A little like me,4,A little like me,3,Somewhat like me,3,Somewhat like me,5,Not like me,6,Not like me at all,2,Like me,2,Like me,2,Like me,2,Like me,,,,
